,frequency
JsKsAd,7.06
8sJdKc,7.03
4d5sTs,6.97
6sTdJc,6.9
2s4d9c,6.87
2sTdQc,6.29
5s5d7c,6.28
4s6dQc,6.13
8s9sAd,6.03
3sTsKd,5.87
3s7d8c,5.78
5s9dKc,5.75
2s7d9s,5.75
7s9dJc,5.73
6s7sKd,5.66
2s7dAs,5.52
3s9dTc,5.46
3s6s9d,5.39
5sTdKs,5.36
3d8sJs,5.2
6s8dQs,5.18
2s8dKc,5.09
TsTd5c,4.95
QsQd8s,4.82
2dTsQs,4.79
4sTsAd,4.74
5s9dQs,4.65
3s3d8s,4.57
4s6dKc,4.53
3s5dAc,4.53
6sJdKs,4.48
3dJsAs,4.43
4s7d8c,4.42
4s5dKs,4.42
3s7dQc,4.39
6s8d9c,4.36
8s8dTc,4.28
JsJd4c,4.26
5d6s8s,4.14
6s6dJs,4.11
2s3dKs,4.08
7sQsKd,4.06
5s6dAc,4.06
9sQsAd,4.05
4s4d3c,4.02
4s7sTd,3.99
2sQsKd,3.93
2sJdQs,3.93
2s8dAc,3.92
3d5s8s,3.91
5s7sQd,3.9
9s9d3s,3.86
6s9dTs,3.85
7sQdAs,3.81
2s4s7d,3.81
9sTsAd,3.8
2s6dJc,3.79
6s7dTc,3.75
2s5dJs,3.74
7s9sKs,3.63
4s8dQc,3.62
3s4dAc,3.62
9dTsJs,3.49
3s7sJs,3.45
5sJsAd,3.41
2s5d6s,3.4
6sQdAc,3.39
2s8sTs,3.39
5s9sQd,3.38
2s3dQc,3.37
8s9dTs,3.29
9sKdAs,3.27
2s2d6c,3.26
4sJdQc,3.23
7s7dTs,3.22
2s3s4s,3.17
KsKd9c,3.16
3s3dJc,3.16
5dJsQs,3.11
3s4dKs,2.99
6s6d9s,2.99
4s8dJc,2.94
4sTdJc,2.91
2s6s8d,2.91
8sKsAd,2.85
7s8sTd,2.85
AsAdJs,2.83
3s5sJd,2.81
2dTsAs,2.75
2s3d6c,2.75
9s9dAc,2.75
2s3d5c,2.71
4s6d7s,2.7
3d6sAs,2.68
3s4s6s,2.66
9sJdQc,2.65
QsKdAs,2.63
2d8sKs,2.63
4s5sKd,2.62
4d9sJs,2.47
3d4s5s,2.47
3s6dKc,2.44
4s9sJs,2.41
6dTsAs,2.4
5s8sAs,2.4
2d3sAs,2.4
7dQsKs,2.34
KsKd4s,2.32
TsJsKs,2.31
7dKsAs,2.31
8dKsAs,2.25
2d5s6s,2.24
7s7dQc,2.21
7s8dJc,2.16
AsAdAc,2.16
6s7dAc,2.14
2d5sJs,2.09
9sQsKd,2.08
JdQsAs,2.03
3sQsAs,2.02
JsQdKc,1.98
2s5dTc,1.97
8s8d3s,1.97
7sQsAd,1.96
5s8d9c,1.88
JsJd7c,1.86
3s4dJc,1.82
6s9sAs,1.8
5sTsQd,1.78
4s9dQc,1.78
4d7sQs,1.77
2d4sAs,1.77
4s6dAc,1.75
2d4s8s,1.75
5d7s8s,1.73
TdJsQs,1.7
6s8dTs,1.7
4d5sAs,1.67
5s7d9s,1.65
4s4dKc,1.6
2s3s9d,1.55
4d8s9s,1.52
3s9sQs,1.51
4s6sJs,1.45
2s3d7s,1.4
AsAd5c,1.37
3dQsKs,1.35
5s7sAs,1.31
JsJd5c,1.31
2s2dTc,1.26
5d6s7s,1.19
5d7s9s,1.18
5s6dJc,1.16
4d6s8s,1.15
9s9d3c,1.15
2s6sQd,1.12
2s3d7c,1.11
2d7sTs,1.03
5sTdQc,0.99
3sTdAc,0.98
8sTdJs,0.93
4s5dKc,0.92
2s7dTc,0.91
5sTdAc,0.83
3s8d9c,0.75
KsKdAs,0.75
2s4d5c,0.73
3s7sAd,0.59
6s6d9c,0.54
4s6d9c,0.47
TsTdTc,0.47
QsQd3c,0.45
3s7dAc,0.43
5s9sTd,0.4
6sQsKs,0.39
KsKd6c,0.36
3s7d8s,0.35
7sTdAc,0.29
2d8sQs,0.27
2s8dTc,0.27
5s6d8s,0.17
6s6d8s,0.15
KsKdTc,0.09
5s6sKs,0.08
